id,tweet,tweet_length,tweet_cleaned,tweet_clst
475, <a>Chinese folk</a> should be tired of Mitt <e>Romney</e> by now. He keeps knockin on their doors with the currency manipulating gloves. Lol,141,"['Chinese', 'folk', 'tire', 'Mitt', 'Romney', 'keep', 'knockin', 'doors', 'currency', 'manipulate', 'gloves', 'Lol']",Chinese folk should be tired of Mitt Romney by now He keeps knockin on their doors with the currency manipulating gloves Lol
476," <e>Romney</e>: ""Government does not create<a> jobs</a>; put me in charge of the government so I can create jobs."" #Debate #Paraphrase",134,"['Romney', 'Government', 'create', 'job', 'put', 'charge', 'government', 'create', 'job', 'Debate', 'Paraphrase']",Romney Government does not create jobs put me in charge of the government so I can create jobs Debate Paraphrase
477, Why did <e>Romney</e> have a binder full of women?,51,"['Romney', 'binder', 'full', 'women']",Why did Romney have a binder full of women
478," ""@singingadiftune: @7im <e>Romney</e> could have just added: Some of my best friends are women."" That would've been a huge lie.",128,"['singingadiftune', 'Romney', 'could', 'add', 'best', 'friends', 'women', 'would', 'huge', 'lie']",singingadiftune 7im Romney could have just added Some of my best friends are women That would 've been a huge lie
479," @<e>Obama</e>2012 You said that <e>Romney</e> didn't serve the '<a>47 %'</a>.. But you also said ""Some unimportant<a> jobs</a> won't come back."" ALL JOBS ARE IMPORTANT!",169,"['say', 'Romney', 'serve', 'also', 'say', 'unimportant', 'job', 'wo', 'come', 'back', 'JOBS', 'IMPORTANT']",Obama2012 You said that Romney did n't serve the '47 But you also said Some unimportant jobs wo n't come back ALL JOBS ARE IMPORTANT
480," Mitt <e>Romney</e> Style, actually dying at this!!!! ðŸ˜‚ http://t.co/dLqowIkQ",79,"['Mitt', 'Romney', 'Style', 'actually', 'die', 'http']",Mitt Romney Style actually dying at this ðŸ˜‚ http t.co/dLqowIkQ
481, Y'all do know <e>Romney</e> can't put y'all in slavery right ? Y'all so dumb,77,"['know', 'Romney', 'ca', 'put', 'slavery', 'right', 'dumb']",Y'all do know Romney ca n't put y'all in slavery right Y'all so dumb
482," If <e>Romney</e> gets elected, I promise, if someone gives me a <e>Romney</e>/Ryan shirt I'll wear it to school and take a picture. #Promise",141,"['Romney', 'get', 'elect', 'promise', 'someone', 'give', 'shirt', 'wear', 'school', 'take', 'picture', 'Promise']",If Romney gets elected I promise if someone gives me a Romney/Ryan shirt I 'll wear it to school and take a picture Promise
483," <e>Romney</e>; see I treated those second rate wemen special, almost like equals.",82,"['Romney', 'see', 'treat', 'second', 'rate', 'wemen', 'special', 'almost', 'like', 'equal']",Romney see I treated those second rate wemen special almost like equals
484, Lmao this kid saying he's <a>republican</a> okay go ahead be an orphan and vote for <e>Romney</e>.,99,"['Lmao', 'kid', 'say', 'republican', 'okay', 'go', 'ahead', 'orphan', 'vote', 'Romney']",Lmao this kid saying he 's republican okay go ahead be an orphan and vote for Romney
485," Oh, if <e>Romney</e> goes down on women, that is so right.  And no, I'm not editing my <a>tweet</a>. #<a>debate</a>s",117,"['Oh', 'Romney', 'go', 'women', 'right', 'edit', 'tweet', 'debate']",Oh if Romney goes down on women that is so right And no I 'm not editing my tweet debates
486," Tonight in the <a>debate</a>s <e>Romney</e> mentioned his <a>offshore ""investments""</a> - <a>AKA  tax shelters</a> - AKA tax havens. I just... http://t.co/Sq9Ssglr",164,"['Tonight', 'debate', 'Romney', 'mention', 'offshore', 'investments', 'AKA', 'tax', 'shelter', 'AKA', 'tax', 'havens', 'http']",Tonight in the debates Romney mentioned his offshore investments AKA tax shelters AKA tax havens I just http t.co/Sq9Ssglr
487," @<e>Romney</e> mortified RT @MichaelOFA: <e>Romney</e> camp sends blast from Paul Ryan on ""<e>Romney</e> Crushing It."" Poor guy must have not seen <a>debate</a>.",162,"['Romney', 'mortify', 'RT', 'MichaelOFA', 'Romney', 'camp', 'send', 'blast', 'Paul', 'Ryan', 'Romney', 'Crushing', 'Poor', 'guy', 'must', 'see', 'debate']",Romney mortified RT MichaelOFA Romney camp sends blast from Paul Ryan on Romney Crushing It Poor guy must have not seen debate
488, I don't have a cat. <e>Romney</e>'s fault.,43,"['cat', 'Romney', 'fault']",I do n't have a cat Romney 's fault
489," #PDSLive <e>Romney</e> takes all his money and pays all of the deficit, I will <a>vote </a>for him immediately.",112,"['PDSLive', 'Romney', 'take', 'money', 'pay', 'deficit', 'vote', 'immediately']",PDSLive Romney takes all his money and pays all of the deficit I will vote for him immediately
490," If <e>Romney</e> wins, the presidential library will have to go digital to accommodate all those binders full of women. #<a>debate</a>s",136,"['Romney', 'win', 'presidential', 'library', 'go', 'digital', 'accommodate', 'binders', 'full', 'women', 'debate']",If Romney wins the presidential library will have to go digital to accommodate all those binders full of women debates
491, So now Candy Crowley says <e>Romney</e> was right on <e>Obama</e>'s terrorism comment: http://t.co/yXTFVjCm #bias #bullshitter,127,"['Candy', 'Crowley', 'say', 'Romney', 'right', 'Obama', 'terrorism', 'comment', 'http', 'bias', 'bullshitter']",So now Candy Crowley says Romney was right on Obama 's terrorism comment http t.co/yXTFVjCm bias bullshitter
492," @HuffingtonPost <e>Romney</e> mentioned drilling stopped because of Birds, Wind Energy kills 1,000's everyday! #tcot  #<e>Romney</e>Ryan  #G0P2012",147,"['HuffingtonPost', 'Romney', 'mention', 'drill', 'stop', 'Birds', 'Wind', 'Energy', 'kill', 'everyday', 'tcot', 'RomneyRyan']","HuffingtonPost Romney mentioned drilling stopped because of Birds Wind Energy kills 1,000 's everyday tcot RomneyRyan G0P2012"
493, #<a>debate</a>s Gm has moved most of their plants out of the country. He says <e>Romney</e> is the <a>outsourcer</a> in chief? Come on.,136,"['debate', 'Gm', 'move', 'plant', 'country', 'say', 'Romney', 'outsourcer', 'chief', 'Come']",debates Gm has moved most of their plants out of the country He says Romney is the outsourcer in chief Come on
494, Omg <e>Romney</e> Binder tweets are the best.,46,"['Omg', 'Romney', 'Binder', 'tweet', 'best']",Omg Romney Binder tweets are the best
495, I'm in a binder? â€œ@CNNVideo: <e>Romney</e> says his team went thru 'binders of women' to find qualified cabinet #CNN<a>debate</a> http://t.co/dfp6f8jTâ€,156,"['binder', 'CNNVideo', 'Romney', 'say', 'team', 'go', 'thru', 'women', 'find', 'qualify', 'cabinet', 'CNNdebate', 'http']",I 'm in a binder â€œ CNNVideo Romney says his team went thru 'binders of women to find qualified cabinet CNNdebate http t.co/dfp6f8jTâ€
496, 'Binders Full Of Women': Mitt <e>Romney</e>'s Comment Goes Viral (VIDEO) - Huffington Post http://t.co/7hOLYNkZ,112,"['Full', 'Women', 'Mitt', 'Romney', 'Comment', 'Goes', 'Viral', 'VIDEO', 'Huffington', 'Post', 'http']",'Binders Full Of Women Mitt Romney 's Comment Goes Viral VIDEO Huffington Post http t.co/7hOLYNkZ
497, So all I got from tonight is <e>Romney</e>'s plan is the<a> five point</a> palm exploding heart tecnique? #FivePoints #ThenYouDie,130,"['get', 'tonight', 'Romney', 'plan', 'five', 'point', 'palm', 'explode', 'heart', 'tecnique', 'FivePoints', 'ThenYouDie']",So all I got from tonight is Romney 's plan is the five point palm exploding heart tecnique FivePoints ThenYouDie
498, <e>Romney</e>'s <a>tax plan</a> is revealed!! http://t.co/31js98K2,67,"['Romney', 'tax', 'plan', 'reveal', 'http']",Romney 's tax plan is revealed http t.co/31js98K2
499, @WSJwashington @BretBaier RT @MattMackowiak: Moderator now says <e>Romney</e> was right about Libya â€” http://t.co/VossyK8Y #<a>debate</a>2012,144,"['WSJwashington', 'BretBaier', 'RT', 'MattMackowiak', 'Moderator', 'say', 'Romney', 'right', 'Libya', 'http']",WSJwashington BretBaier RT MattMackowiak Moderator now says Romney was right about Libya â€ ” http t.co/VossyK8Y debate2012
500," For all you <e>Romney</e> haters, here's his <a>tax plan</a>. http://t.co/IhGU5oAt",83,"['Romney', 'haters', 'tax', 'plan', 'http']",For all you Romney haters here 's his tax plan http t.co/IhGU5oAt
501, @SandraFluke <e>Romney</e> claims that the way to equitable pay for women is to get them home in time to make dinner.  #bindersfullofwomen,139,"['SandraFluke', 'Romney', 'claim', 'way', 'equitable', 'pay', 'women', 'get', 'home', 'time', 'make', 'dinner', 'bindersfullofwomen']",SandraFluke Romney claims that the way to equitable pay for women is to get them home in time to make dinner bindersfullofwomen
502,Swing States poll:<a> Women push Romney into lead <a>- USA TODAY: CBC.caSwing States poll: Women push <e>Romney</e> into lead... http://t.co/qJD2StaC,149,"['Swing', 'States', 'poll', 'Women', 'push', 'Romney', 'lead', 'USA', 'TODAY', 'States', 'poll', 'Women', 'push', 'Romney', 'lead', 'http']",Swing States poll Women push Romney into lead USA TODAY CBC.caSwing States poll Women push Romney into lead http t.co/qJD2StaC
503,"Lmao at this <e>Romney</e><a> Abortion video back</a> in 95, good work <e>Obama</e>",83,"['Lmao', 'Romney', 'Abortion', 'video', 'back', 'good', 'work', 'Obama']",Lmao at this Romney Abortion video back in 95 good work Obama
504,<e> Obama</e> got <a>Morgan freeman to be in his commercial. <e>Romney</e> is fucked now,88,"['Obama', 'get', 'Morgan', 'freeman', 'commercial', 'Romney', 'fuck']",Obama got Morgan freeman to be in his commercial Romney is fucked now
505,Breaking News Open Question: Which - <e>Romney</e>or<e> Obama</e>- will do the following?: -<a>Focus on making the US a more sel... http://t.co/7bn4WOJP,152,"['Breaking', 'News', 'Open', 'Question', 'Romneyor', 'Obama', 'follow', 'Focus', 'make', 'US', 'sel', 'http']",Breaking News Open Question Which Romneyor Obama will do the following Focus on making the US a more sel http t.co/7bn4WOJP
506,Women for <e>Romney/</e>Ryan 2012 people that <a>know me IRL do I sound like this?</a>! Everyone is saying I do ðŸ˜£ðŸ˜«ðŸ˜“ðŸ˜’ http://t.co/ytE25zIo,149,"['Women', 'people', 'know', 'IRL', 'sound', 'like', 'Everyone', 'say', 'http']",Women for Romney/Ryan 2012 people that know me IRL do I sound like this Everyone is saying I do ðŸ˜£ðŸ˜ « ðŸ˜ “ ðŸ˜ ’ http t.co/ytE25zIo
507,Odds on international law as <e>Obama/Romney</e> #<a>debate topic</a>? Near zero.,81,"['Odds', 'international', 'law', 'debate', 'topic', 'Near', 'zero']",Odds on international law as Obama/Romney debate topic Near zero
508,Gallup shows <e>Romney </e><a>pulling ahead in swing states http://t.co/Jw7yLzxn,80,"['Gallup', 'show', 'Romney', 'pull', 'ahead', 'swing', 'state', 'http']",Gallup shows Romney pulling ahead in swing states http t.co/Jw7yLzxn
509,I liked a @YouTube video from @baracksdubs http://t.co/bNvtC0dL <e>Barack Obama </e>and <e>Mitt Romney </e><a>Singing Hot and Cold by Katy Perry,144,"['like', 'YouTube', 'video', 'baracksdubs', 'http', 'Barack', 'Obama', 'Mitt', 'Romney', 'Singing', 'Hot', 'Cold', 'Katy', 'Perry']",I liked a YouTube video from baracksdubs http t.co/bNvtC0dL Barack Obama and Mitt Romney Singing Hot and Cold by Katy Perry
510,"This kid just said ""<e>Mitt Romney </e>is against tampons!!!"" Get. Out. You. Irrelevant. Person. Who. Knows.<a> Nothing. About. Politics.",137,"['kid', 'say', 'Mitt', 'Romney', 'tampon', 'Get', 'Irrelevant', 'Person', 'Knows', 'Nothing', 'Politics']",This kid just said Mitt Romney is against tampons Get Out You Irrelevant Person Who Knows Nothing About Politics
511,Palin Says The pressure's on <e>Obama</e> in <a>debate rematch </a>with <e>Romney</e> http://t.co/ODFBC855 #teaparty,116,"['Palin', 'Says', 'pressure', 'Obama', 'debate', 'rematch', 'Romney', 'http', 'teaparty']",Palin Says The pressure 's on Obama in debate rematch with Romney http t.co/ODFBC855 teaparty
512,Romney likes 2 steal the glory. Gov Deval Patreck made <a>Mass education system</a>#1.Mitt did nothing.<e>Romney </e>was 1/2 time gov of Mass.,142,"['Romney', 'like', 'steal', 'glory', 'Gov', 'Deval', 'Patreck', 'make', 'Mass', 'education', 'system', 'time', 'gov', 'Mass']",Romney likes 2 steal the glory Gov Deval Patreck made Mass education system 1.Mitt did nothing.Romney was 1/2 time gov of Mass
513,"<e>Romney</e>won't show<a> tax returns</a>, <a>history of shipping jobs out of US,</a> won't care for 47% of US ppl, has voucher care, wants to privatize SS.",157,"['Romneywo', 'show', 'tax', 'return', 'history', 'ship', 'job', 'US', 'wo', 'care', 'US', 'ppl', 'voucher', 'care', 'want', 'privatize', 'SS']",Romneywo n't show tax returns history of shipping jobs out of US wo n't care for 47 of US ppl has voucher care wants to privatize SS
514,@MittRomney @<e>TRomney Will <e>Obama</e> <a>Show up at 2nd debate?</a> https://t.co/Z2xb4vrs,93,"['MittRomney', 'TRomney', 'Obama', 'Show', 'debate', 'https']",MittRomney TRomney Will Obama Show up at 2nd debate https t.co/Z2xb4vrs
515,Did <a>Fox News just punk </a>the <e>Romney</e> campaign? @Upworthy  http://t.co/vvQ9jhV1,89,"['Fox', 'News', 'punk', 'Romney', 'campaign', 'Upworthy', 'http']",Did Fox News just punk the Romney campaign Upworthy http t.co/vvQ9jhV1
516,How did Big Bird give <e>Romney</e> a <a>chance to look presidential? </a>Fitzgerald files on the US election campaign http://t.co/yyfhDL0B,139,"['Big', 'Bird', 'give', 'Romney', 'chance', 'look', 'presidential', 'Fitzgerald', 'file', 'US', 'election', 'campaign', 'http']",How did Big Bird give Romney a chance to look presidential Fitzgerald files on the US election campaign http t.co/yyfhDL0B
517,"[MedCity News] Find out where <e>Obama, Romney </e>stand on #<a>startups and entrepreneurship</a> http://t.co/47nQ70Bj",118,"['MedCity', 'News', 'Find', 'Obama', 'Romney', 'stand', 'startups', 'entrepreneurship', 'http']",MedCity News Find out where Obama Romney stand on startups and entrepreneurship http t.co/47nQ70Bj
518,"Wow. More on Emperor <e>Romney</e>,, err Palpatine: In the prequel trilogy, <a>Palpatine is a middle-aged politician</a> of (cont) http://t.co/WJxpyMqi",151,"['Wow', 'Emperor', 'Romney', 'err', 'Palpatine', 'prequel', 'trilogy', 'Palpatine', 'politician', 'cont', 'http']",Wow More on Emperor Romney err Palpatine In the prequel trilogy Palpatine is a middle-aged politician of cont http t.co/WJxpyMqi
519,@TheDailyEdge People probably meant P <e>Romney</e> and P V Ryan and mentor P Koch Bros,87,"['TheDailyEdge', 'People', 'probably', 'mean', 'P', 'Romney', 'P', 'V', 'Ryan', 'mentor', 'P', 'Koch', 'Bros']",TheDailyEdge People probably meant P Romney and P V Ryan and mentor P Koch Bros
520,The blonde chick from Taken is going to look just like Ann Romney when she ages. #rememberthis,94,"['blonde', 'chick', 'Taken', 'go', 'look', 'like', 'Ann', 'Romney', 'age', 'rememberthis']",The blonde chick from Taken is going to look just like Ann Romney when she ages rememberthis
521,Racism still lives.<e>Romney</e><a> Suppt Wears 'Put The White Back In The White House' T-Shirt </a>@ Campaign Event http://t.co/PWqHQk8Q via @HuffPostPol,154,"['Racism', 'still', 'Suppt', 'Wears', 'White', 'Back', 'White', 'House', 'Campaign', 'Event', 'http', 'via', 'HuffPostPol']",Racism still lives.Romney Suppt Wears 'Put The White Back In The White House T-Shirt Campaign Event http t.co/PWqHQk8Q via HuffPostPol
522,"<e>Romney </e>supporter Scott Baio: So much for <a>liberal tolerance</a>, huh? http://t.co/NRwSuZsl via @TwitchyTeam",116,"['Romney', 'supporter', 'Scott', 'Baio', 'much', 'liberal', 'tolerance', 'huh', 'http', 'via', 'TwitchyTeam']",Romney supporter Scott Baio So much for liberal tolerance huh http t.co/NRwSuZsl via TwitchyTeam
523,New post: Gallup Shows<a> Florida Swinging <e>Romney's </eDirection </a>http://t.co/pIbZ1CPg,92,"['New', 'post', 'Gallup', 'Shows', 'Florida', 'Swinging', 'Romney', 'http']",New post Gallup Shows Florida Swinging Romney 's http t.co/pIbZ1CPg
524,Yet Another CEO Asks Employees to Vote <e>Romney </e>for <a>Sake of the Company (And Their Jobs) http://t.co/karweFgJ via @theblaze  #tpp #sgp #tcot,148,"['Yet', 'Another', 'CEO', 'Asks', 'Employees', 'Vote', 'Romney', 'Sake', 'Company', 'Jobs', 'http', 'via', 'theblaze', 'tpp', 'sgp', 'tcot']",Yet Another CEO Asks Employees to Vote Romney for Sake of the Company And Their Jobs http t.co/karweFgJ via theblaze tpp sgp tcot
525,"-_________- â€œ@dessssstinyyyyy: Someone wore a shirt saying <a>""Putting White back in the White House"" </a>at a<e> Romney/Ryan </e>ralley....â€",145,"['dessssstinyyyyy', 'Someone', 'wear', 'shirt', 'say', 'Putting', 'White', 'back', 'White', 'House', 'ralley']",â€œ dessssstinyyyyy Someone wore a shirt saying Putting White back in the White House at a Romney/Ryan ralley â€
526,</e> romney Supporter Wears '<a>Put The White Back In The White House' T-Shirt </a>At Ohio Campaign Event (PHOTO) http://t.co/GbbHLj12 via @HuffPostPol,151,"['romney', 'Supporter', 'Wears', 'White', 'Back', 'White', 'House', 'Ohio', 'Campaign', 'Event', 'PHOTO', 'http', 'via', 'HuffPostPol']",romney Supporter Wears 'Put The White Back In The White House T-Shirt At Ohio Campaign Event PHOTO http t.co/GbbHLj12 via HuffPostPol
527,"SOP for many Dems: RT: @TwitchyTeamObama supporter: 'Every car I see with a <a><e>Romney</e> sticker</a>, I key it.' http://t.co/knpIgmWH",137,"['SOP', 'many', 'Dems', 'RT', 'TwitchyTeamObama', 'supporter', 'car', 'see', 'Romney', 'sticker', 'key', 'http']",SOP for many Dems RT TwitchyTeamObama supporter 'Every car I see with a Romney sticker I key it http t.co/knpIgmWH
528,"Governor <e>Romney</e> to <a>campaign in Virginia tomorrow - stops in Chesapeake, Leesburg",90,"['Governor', 'Romney', 'campaign', 'Virginia', 'tomorrow', 'stop', 'Chesapeake', 'Leesburg']",Governor Romney to campaign in Virginia tomorrow stops in Chesapeake Leesburg
529,I've only ever heard <a>bad things</a> about <e>Romney…</e>,59,"['ever', 'hear', 'bad', 'things']",I 've only ever heard bad things about Romney…
530,@CNN Will<e> Obama</e>get to keep his<a> job </a>or will<e> Romney</e> snatch it.Watch tonite.,94,"['CNN', 'Obamaget', 'keep', 'job', 'Romney', 'snatch', 'tonite']",CNN Will Obamaget to keep his job or will Romney snatch it.Watch tonite
531,<a>Hedge Funds take 5 of the top 10 spots</a> as donors to <e>Romney</e> Victory Fund http://t.co/yTFUmK2i,106,"['Hedge', 'Funds', 'take', 'top', 'spot', 'donors', 'Romney', 'Victory', 'Fund', 'http']",Hedge Funds take 5 of the top 10 spots as donors to Romney Victory Fund http t.co/yTFUmK2i
532,Chris Wallace Got My <a>Memo On Six Bogus Studies <e>Romney's</e> Been Touting As Facts http://t.co/mq3Tn3kC,108,"['Chris', 'Wallace', 'Got', 'Memo', 'Six', 'Bogus', 'Studies', 'Romney', 'Touting', 'Facts', 'http']",Chris Wallace Got My Memo On Six Bogus Studies Romney 's Been Touting As Facts http t.co/mq3Tn3kC
533,Mitt Romney Style (Gangnam Style Parody) http://t.co/qJSptbfH,61,"['Mitt', 'Romney', 'Style', 'Gangnam', 'Style', 'Parody', 'http']",Mitt Romney Style Gangnam Style Parody http t.co/qJSptbfH
534,". <e>#Romney's t</e><a>aken $11mil from tobacco, alcohol & gambling co's while <e>Obamas</e> taken $500K. Family values candidate? @stefcutter #debate #obama",157,"['Romney', 'take', 'tobacco', 'alcohol', 'gamble', 'co', 'Obamas', 'take', 'Family', 'value', 'candidate', 'stefcutter', 'debate', 'obama']",Romney 's taken 11mil from tobacco alcohol gambling co 's while Obamas taken 500K Family values candidate stefcutter debate obama
535,"Give <e>Romney the <a>liars, </aNO RESPECT.  ...NO RESPECT PERIOD!",66,"['Give', 'Romney', 'liars', 'aNO', 'RESPECT', 'RESPECT', 'PERIOD']",Give Romney the liars aNO RESPECT NO RESPECT PERIOD
536,"Koch Sends Pro-<e>Romney</e><a> Mailing to 45,000 Employees </a>While Stifling Workplace Political Speech (Update)  #WorWat http://t.co/2Vh8Qv6V",144,"['Koch', 'Sends', 'Mailing', 'Employees', 'Stifling', 'Workplace', 'Political', 'Speech', 'Update', 'WorWat', 'http']","Koch Sends Pro-Romney Mailing to 45,000 Employees While Stifling Workplace Political Speech Update WorWat http t.co/2Vh8Qv6V"
537,Romney: The<e> Romney </e><a>campaignâ€™s postmodern approach</a> to policy http://t.co/2hl31LFE,96,"['Romney', 'Romney', 'postmodern', 'approach', 'policy', 'http']",Romney The Romney campaignâ€™s postmodern approach to policy http t.co/2hl31LFE
538,@Steven_Berlett:<e> Romney 2012 </e>@current #current2012,57,"['Steven_Berlett', 'Romney', 'current']",Steven_Berlett Romney 2012 current current2012
539,"Vietnam veteran shouts, â€œFuck you, <E>Romney</E>! You wouldnâ€™t know service if it <A>bit you on your well manicured ass.â€ http://t.co/bzTSS6Cm",148,"['Vietnam', 'veteran', 'shout', 'Romney', 'know', 'service', 'bite', 'well', 'manicure', 'http']",Vietnam veteran shouts â€œFuck you Romney You wouldnâ€™t know service if it bit you on your well manicured ass.â€ http t.co/bzTSS6Cm
540,"OK, now this is starting to look serious ... <e>Romney </e>50%, <e>Obama</e> 46% Among <a>Likely Voter</a>s http://t.co/pX9uRSW9",128,"['OK', 'start', 'look', 'serious', 'Romney', 'Obama', 'Among', 'Likely', 'Voters', 'http']",OK now this is starting to look serious Romney 50 Obama 46 Among Likely Voters http t.co/pX9uRSW9
541,Honestly <A>can not believe what I saw </A>>while driving today #Mitts #The #Tits #<E>Romney </E>http://t.co/FVRLbtAY,117,"['Honestly', 'believe', 'saw', 'drive', 'today', 'Mitts', 'Tits', 'Romney', 'http']",Honestly can not believe what I saw while driving today Mitts The Tits Romney http t.co/FVRLbtAY
542,<e> Romney</e> has been derided as wooden...first debate showed that he has fire and confidence...I think someone else was wooden...deer in hdlights,148,"['Romney', 'deride', 'wooden', 'first', 'debate', 'show', 'fire', 'confidence', 'think', 'someone', 'else', 'wooden', 'deer', 'hdlights']",Romney has been derided as wooden first debate showed that he has fire and confidence I think someone else was wooden deer in hdlights
543,Comical - the<e> president</e> now whines <e>Romney</e> is a <A>salesman; this from a man who can't speak without a teleprompter.</A> #tcot,139,"['Comical', 'president', 'whine', 'Romney', 'salesman', 'man', 'ca', 'speak', 'without', 'teleprompter', 'tcot']",Comical the president now whines Romney is a salesman this from a man who ca n't speak without a teleprompter tcot
544,@KatMcKinley me too! Have you seen the breaking news that <e>Romney</e>><a> got a hair cut before debate</a>??!!?,113,"['KatMcKinley', 'see', 'break', 'news', 'Romney', 'get', 'hair', 'cut', 'debate']",KatMcKinley me too Have you seen the breaking news that Romney got a hair cut before debate
545,No green M&M's! Contract gives <e>Obama </e><e> Romney </e><a>each a room backstage</a> but w/o goodies-Rock stars would walk out! #debates http://t.co/wU1tnsAv,160,"['green', 'Contract', 'give', 'Obama', 'Romney', 'room', 'backstage', 'star', 'would', 'walk', 'debate', 'http']",No green M M 's Contract gives Obama Romney each a room backstage but w/o goodies-Rock stars would walk out debates http t.co/wU1tnsAv
546,Amazing that today it is an afterthought to have instant access to photos like this. (<e>Romney</e><a> enroute to debate) http://t.co/Ddt7jIgB,142,"['Amazing', 'today', 'afterthought', 'instant', 'access', 'photos', 'like', 'Romney', 'enroute', 'debate', 'http']",Amazing that today it is an afterthought to have instant access to photos like this Romney enroute to debate http t.co/Ddt7jIgB
547,Daily Kos:<e> Mitt Romney</e>: 'We need to <a>get those jobs back from China</a>' http://t.co/j9uKTcTa@dailykos Mitt Bain Sending NOW Still ProfitsW!Mitt,153,"['Daily', 'Kos', 'Mitt', 'Romney', 'need', 'get', 'job', 'back', 'China', 'http', 'dailykos', 'Mitt', 'Bain', 'Sending', 'Still', 'ProfitsW', 'Mitt']",Daily Kos Mitt Romney 'We need to get those jobs back from China http t.co/j9uKTcTa dailykos Mitt Bain Sending NOW Still ProfitsW Mitt
548,"Mr.<E> Romney</e>, some call you <a>Willard Scissorhands</a>. But that little gay kid deserved it, right?  #CandyCrowleyDebateQuestions",135,"['Mr', 'Romney', 'call', 'Willard', 'Scissorhands', 'little', 'gay', 'kid', 'deserve', 'right', 'CandyCrowleyDebateQuestions']",Mr Romney some call you Willard Scissorhands But that little gay kid deserved it right CandyCrowleyDebateQuestions
549,<a>5 things to watch for in <e>Obama </e>vs.<e> Romney</e> sequel : http://t.co/VFTfnp3s,88,"['things', 'watch', 'Obama', 'vs', 'Romney', 'sequel', 'http']",5 things to watch for in Obama vs Romney sequel http t.co/VFTfnp3s
550,"I'm lol'n so hard!!!!!! I just unfollowed someone who tweeted '<e>Romney,</e> b a real man & <a>vote 4 Gary Johnson as PRES!'<a> Ok, which planet r u on?",153,"['hard', 'unfollowed', 'someone', 'tweet', 'b', 'real', 'man', 'vote', 'Gary', 'Johnson', 'PRES', 'Ok', 'planet', 'r', 'u']",I 'm lol'n so hard I just unfollowed someone who tweeted 'Romney b a real man vote 4 Gary Johnson as PRES Ok which planet r u on
551,Billy Graham site <a>removes Mormon 'cult' reference</a> after <e>Romney </e>meeting â€“ CNN Belief Blog - http://t.co/OQ9IzJ1M Blogs http://t.co/uV2ERZUg,154,"['Billy', 'Graham', 'site', 'remove', 'Mormon', 'reference', 'Romney', 'meet', 'CNN', 'Belief', 'Blog', 'http', 'Blogs', 'http']",Billy Graham site removes Mormon 'cult reference after Romney meeting â€ “ CNN Belief Blog http t.co/OQ9IzJ1M Blogs http t.co/uV2ERZUg
552,What I got out of this is that <e>Romney </e> tryin to make USA a thirdworld country by makin the <a>rich richer and the poor poorer like SUDAN</a>,147,"['get', 'Romney', 'tryin', 'make', 'USA', 'thirdworld', 'country', 'makin', 'rich', 'richer', 'poor', 'poorer', 'like', 'SUDAN']",What I got out of this is that Romney tryin to make USA a thirdworld country by makin the rich richer and the poor poorer like SUDAN
553,"Pressure on Obama for next <a>debate</a>: <e>Barack Obama </e>and <e> Mitt Romney</e> cram for their next clash on Tuesday, with the US president under pre...",158,"['Pressure', 'Obama', 'next', 'debate', 'Barack', 'Obama', 'Mitt', 'Romney', 'cram', 'next', 'clash', 'Tuesday', 'US', 'president', 'pre']",Pressure on Obama for next debate Barack Obama and Mitt Romney cram for their next clash on Tuesday with the US president under pre
554,"Koch Sends Pro-<e>Romney</e><a> Mailing to 45,000 Employees </a>While Stifling Workplace Political Speech - In These Times - http://t.co/jlDuhhFF",145,"['Koch', 'Sends', 'Mailing', 'Employees', 'Stifling', 'Workplace', 'Political', 'Speech', 'Times', 'http']","Koch Sends Pro-Romney Mailing to 45,000 Employees While Stifling Workplace Political Speech In These Times http t.co/jlDuhhFF"
555,<a>Ross Perot endorses</a> <e>Mitt Romney</e>> - Bayoubuzz http://t.co/85vqDy6m,79,"['Ross', 'Perot', 'endorse', 'Mitt', 'Romney', 'Bayoubuzz', 'http']",Ross Perot endorses Mitt Romney Bayoubuzz http t.co/85vqDy6m
556,"Washington Post Fact Checker Says <e>Romney</e><a> Jobs Plan</a> â€œBait-and-Switchâ€, â€œDoesnâ€™t Add Upâ€ http://t.co/i6HN3NOG via @sharethis",146,"['Washington', 'Post', 'Fact', 'Checker', 'Says', 'Romney', 'Jobs', 'Plan', 'Add', 'http', 'via', 'sharethis']",Washington Post Fact Checker Says Romney Jobs Plan â€œBait-and-Switchâ€ â€œDoesnâ€™t Add Upâ€ http t.co/i6HN3NOG via sharethis
557,A123 Bankruptcy Gives<e> Romney</e><a> New Example of Green â€˜Loser</a>â€™ http://t.co/YJM5XD0M,96,"['Bankruptcy', 'Gives', 'Romney', 'New', 'Example', 'Green', 'http']",A123 Bankruptcy Gives Romney New Example of Green â€˜Loserâ€™ http t.co/YJM5XD0M
558,Daily Kos: Dear Mrs. <e>Romney </e>http://t.co/tQ5y9YsL via @dailykos,69,"['Daily', 'Kos', 'Dear', 'Mrs', 'Romney', 'http', 'via', 'dailykos']",Daily Kos Dear Mrs Romney http t.co/tQ5y9YsL via dailykos
